Title,Artist,Runtime,,
The Scientist,Coldplay,,,
Reborn,Kids See Ghosts,,,
Kids,MGMT,,,
Bille Jean,Michael Jackson,,,"{=INDEX(rng,MATCH(MAX(LEN(rng)),LEN(rng),0))}"
nights,Frank Ocean,,,
Feel Good Inc.,Gorillaz,,,
Jingle Bell Rock - Daryl's Version,Hall & Oates,,,
Creep,Radiohead,,,
Where Is My Mind?,Pixies,,,
Shallow,Lady Gaga,,,
Sweetener,Ariana Grande,,,
If You Know You Know,Pusha T,,,
Chop Suey!,System of a Down,,,
Can't Stop,Red Hot Chili Peppers,,,
Underneath the Tree,Kelly Clarkson,,,
Take on Me,a-ha,,,
Everybody Wants to Rule the World,Tears for Fears,,,
lovely (with Khalid),Billie Eilish,,,
White Christmas,Bing Crosby,,,
Santa Baby,Ariana Grande,,,
High Hopes,Panic! at the Disco,,,
Californication,Red Hot Chili Peppers,,,
Woman Like Me (feat. Nicki Minaj),Little Mix,,,
Have Yourself a Merry Little Christmas,Sam Smith,,,
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,,,
Close to Me (with Diplo) (feat. Swae Lee),Ellie Goulding,,,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,,,
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,,,
In My Feelings,Drake,,,
God's Plan,Drake,,,
Sultans of Swing,Dire Straits,,,
Green Light,Lorde,,,
idontwannabeyouanymore,Billie Eilish,,,
The Middle,Zedd,,,
Santa Claus Is Coming To Town,The Jackson 5,,,
come out and play,Billie Eilish,,,
I Love It (& Lil Pump),Kanye West,,,
Girls Like You (feat. Cardi B),Maroon 5,,,
Santa Tell Me,Ariana Grande,,,
Do I Wanna Know?,Arctic Monkeys,,,
Youngblood,5 Seconds of Summer,,,
Psycho (feat. Ty Dolla $ign),Post Malone,,,
One Kiss (with Dua Lipa),Calvin Harris,,,
Do They Know It's Christmas? - 1984 Version,Band Aid,,,
It's Not Living (If It's Not with You),The 1975,,,
Little Saint Nick - 1991 Remix,The Beach Boys,,,
Bohemian Rhapsody,Queen,,,
Feel the Love,Kids See Ghosts,,,
Sweet but Psycho,Ava Max,,,
Bellyache,Billie Eilish,,,
No Tears Left To Cry,Ariana Grande,,,
Look What You Made Me Do,Taylor Swift,,,
Christmas (Baby Please Come Home),Mariah Carey,,,
It's The Most Wonderful Time of the Year,Andy Williams,,,
Don't Stop Me Now - Remastered,Queen,,,
Thunder,Imagine Dragons,,,
TOOTIMETOOTIMETOOTIME,The 1975,,,
Numb,Linkin Park,,,
Carol of the Bells,Mykola Dmytrovych Leontovych,,,
YOSEMITE,Travi$ Scott,,,
Ruin My Life,Zara Larsson,,,
Winter Wonderland,Tony Bennett,,,
Dancing Queen,ABBA,,,
December 24,Earl Sweatshirt,,,
Ivy,Frank Ocean,,,
Happier,Marshmello,,,
Run Rudolph Run - Single Version,Chuck Berry,,,
Natural,Imagine Dragons,,,
Blue Christmas,Elvis Presley,,,
Christmas Lights,Coldplay,,,
Santa Baby,Eartha Kitt,,,
Last Christmas,Wham!,,,
Fluorescent Adolescent,Arctic Monkeys,,,
rockstar (feat. 21 Savage),Post Malone,,,
Kiss and Make Up,Dua Lipa,,,
A Holly Jolly Christmas - Single Version,Burl Ives,,,
Fairytale of New York (feat. Kirsty MacColl),The Pogues,,,
Under the Bridge,Red Hot Chili Peppers,,,
SAD!,xxxtentacion,,,
Somebody Told Me,The Killers,,,
Nice For What,Drake,,,
My My My!,Troye Sivan,,,
whoa (mind in awe),xxxtentacion,,,
All I Want for Christmas Is You,Mariah Carey,,,
Africa,Toto,,,
a lot,21 Savage,,,
Delicate,Taylor Swift,,,
Redbone,Childish Gambino,,,
Rockin' Around The Christmas Tree,Brenda Lee,,,
Under Pressure - Remastered,Queen,,,
"Thank U, Next",Ariana Grande,,,
HUMBLE.,Kendrick Lamar,,,
Santa Baby,Kylie Minogue,,,
Better Now,Post Malone,,,
Mo Bamba,Sheck Wes,,,
We Appreciate Power,Grimes,,,
What Christmas Means to Me,Stevie Wonder,,,
Mistletoe,Justin Bieber,,,
Into You,Ariana Grande,,,
Wow.,Post Malone,,,
Sex on Fire,Kings of Leon,,,
Bad Liar,Imagine Dragons,,,
I Like It,Cardi B,,,
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,,,
Step Into Christmas,Elton John,,,
Toxic,Britney Spears,,,
Better,Khalid,,,
XO TOUR Llif3,LIL UZI VERT,,,
Jingle Bell Rock,Bobby Helms,,,
1999,Charli XCX,,,
Driving Home for Christmas,Chris Rea,,,
Mr. Brightside,The Killers,,,
Bitter Sweet Symphony,The Verve,,,
Intro,The xx,,,
Pumped Up Kicks,Foster the People,,,
The Christmas Song (Merry Christmas To You),Nat King Cole,,,
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,,,
Zombie,The Cranberries,,,
Moonlight,xxxtentacion,,,
Eastside (with Halsey & Khalid),Benny Blanco,,,
Santa's Coming for Us,Sia,,,
September,"Earth, Wind & Fire",,,
Winter Wonderland - Remastered 2006,Bing Crosby,,,
SICKO MODE,Travi$ Scott,,,
This Is America,Childish Gambino,,,
Killing in the Name,Rage Against the Machine,,,
See You Again,"Tyler, the Creator",,,
Believer,Imagine Dragons,,,
Jocelyn Flores,xxxtentacion,,,
In the End,Linkin Park,,,
Bohemian Rhapsody - Remastered 2011,Queen,,,
Pink + White,Frank Ocean,,,
Feel It Still,Portugal. The Man,,,
Love It If We Made It,The 1975,,,
Imagine,Ariana Grande,,,
Promises (with Sam Smith),Calvin Harris,,,
Immigrant Song,Led Zeppelin,,,
Call Out My Name,The Weeknd,,,
I'll Be Home,Meghan Trainor,,,
breathin,Ariana Grande,,,
Black Hole Sun,Soundgarden,,,
Take Me to Church,Hozier,,,
Happy Xmas (War Is Over) - Remastered,John Lennon,,,
BAD!,xxxtentacion,,,
Karma Police,Radiohead,,,
Come as You Are,Nirvana,,,
The Less I Know the Better,Tame Impala,,,
Let You Love Me,Rita Ora,,,
Solo (feat. Demi Lovato),Clean Bandit,,,
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,,,
